[0, 6, 3, 5, 8, 4, 9, 2]
[0, 6, 3, 7, 5, 4, 1, 9]
[0, 6, 3, 7, 5, 8, 1, 2]
[0, 3, 7, 8, 4, 1, 9, 2]
[6, 7, 5, 8, 4, 1, 9, 2]
[0, 6, 3, 7, 5, 8, 4, 1]
[6, 3, 7, 8, 4, 1, 9, 2]
[0, 6, 7, 5, 4, 1, 9, 2]
[0, 3, 7, 5, 8, 1, 9, 2]
[0, 6, 3, 5, 8, 4, 9, 2]
[6, 3, 7, 5, 8, 4, 1, 2]
[0, 7, 5, 8, 4, 1, 9, 2]
[0, 6, 3, 7, 8, 1, 9, 2]
[0, 6, 3, 7, 5, 4, 9, 2]
[0, 6, 3, 5, 8, 4, 1, 9]
[0, 3, 5, 8, 4, 1, 9, 2]
[6, 3, 7, 5, 8, 4, 9, 2]
[0, 6, 7, 5, 8, 4, 1, 2]
[0, 6, 3, 7, 5, 1, 9, 2]
[0, 6, 3, 7, 8, 4, 1, 9]
[0, 6, 7, 8, 4, 1, 9, 2]
[0, 6, 3, 7, 5, 8, 1, 9]
[3, 7, 5, 8, 4, 1, 9, 2]
[0, 6, 3, 7, 5, 8, 4, 2]
[0, 6, 3, 5, 4, 1, 9, 2]
[0, 6, 3, 7, 5, 4, 1, 2]
[0, 3, 7, 5, 8, 4, 1, 9]
[6, 3, 7, 5, 8, 1, 9, 2]
[0, 6, 3, 8, 4, 1, 9, 2]
[0, 6, 7, 5, 8, 4, 9, 2]
[0, 6, 3, 7, 5, 8, 4, 9]
[0, 6, 7, 5, 8, 1, 9, 2]
[0, 6, 3, 5, 8, 4, 1, 2]
[0, 3, 7, 5, 4, 1, 9, 2]
[6, 3, 7, 8, 4, 1, 9, 2]
[0, 6, 5, 8, 4, 1, 9, 2]
[0, 6, 3, 7, 8, 4, 1, 2]
[0, 3, 7, 5, 8, 4, 9, 2]
[6, 3, 7, 5, 8, 4, 1, 9]
[0, 6, 3, 7, 5, 1, 9, 2]
[0, 6, 3, 7, 5, 8, 9, 2]
[6, 3, 7, 5, 4, 1, 9, 2]
[0, 3, 7, 5, 8, 4, 1, 2]
[0, 6, 7, 5, 8, 4, 1, 9]
[0, 6, 3, 8, 4, 1, 9, 2]
[0, 6, 3, 7, 4, 1, 9, 2]
[0, 6, 3, 5, 8, 1, 9, 2]
[0, 3, 7, 5, 8, 4, 1, 2]
[0, 6, 7, 5, 8, 4, 1, 9]
[6, 3, 7, 5, 8, 4, 9, 2]
[0, 6, 3, 7, 8, 4, 9, 2]
[6, 3, 5, 8, 4, 1, 9, 2]
[0, 6, 3, 7, 5, 8, 1, 9]
[0, 6, 3, 7, 5, 4, 1, 2]
[0, 7, 5, 8, 4, 1, 9, 2]
